Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Fecal_Coliform,DO_Temp_Ratio,pH_Deviation,WQI,WQI_Class
2020.0,5.0,3.0,Moroboro Dam,C,6.4,2.0,228.0,7.8,28.8,24000.0,0.22222222222222224,0.7999999999999998,4966.250380952381,High Risk
2020.0,5.0,4.0,Duenas Bridge,C,7.8,1.0,415.0,7.8,28.6,110000.0,0.2727272727272727,0.7999999999999998,22598.022857142856,High Risk
2020.0,5.0,5.0,Downstream Passi II,C,7.4,2.0,431.0,7.7,27.6,240000.0,0.26811594202898553,0.7000000000000002,49237.278880952384,High Risk
2020.0,5.0,6.0,Downstream Passi I,C,7.0,2.0,274.0,7.7,27.6,49000.0,0.25362318840579706,0.7000000000000002,10089.324880952381,High Risk
2020.0,5.0,7.0,Upstream Passi I,C,7.7,2.0,544.0,7.7,27.2,13000.0,0.28308823529411764,0.7000000000000002,2733.192547619047,High Risk
2020.0,5.0,8.0,Calinog Bridge (Class A),A,7.4,1.0,332.0,7.9,26.4,7900.0,0.28030303030303033,0.9000000000000004,1669.9970238095239,High Risk
2020.0,5.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,7.5,1.0,180.0,8.0,26.1,9400.0,0.28735632183908044,1.0,1965.0055238095238,High Risk
2020.0,6.0,1.0,"Inland Fisheries, Leganes",C,7.7,7.0,50.0,7.0,29.0,140000.0,0.2655172413793104,0.0,28721.728333333333,High Risk
2020.0,6.0,10.0,Alibunan Upstream (Class A),A,8.6,2.0,16.0,7.0,26.0,84000.0,0.33076923076923076,0.0,17230.051047619047,High Risk
2020.0,6.0,3.0,Moroboro Dam,C,7.8,5.0,213.0,7.0,28.0,92000.0,0.2785714285714286,0.0,18894.850285714285,High Risk
2020.0,6.0,4.0,Duenas Bridge,C,7.9,5.0,169.0,7.0,27.0,280000.0,0.2925925925925926,0.0,57411.14395238095,High Risk
2020.0,6.0,5.0,Downstream Passi II,C,8.0,5.0,358.0,7.0,27.0,48000.0,0.2962962962962963,0.0,9889.636952380954,High Risk
2020.0,6.0,6.0,Downstream Passi I,C,7.6,4.0,398.0,7.0,27.0,33000.0,0.28148148148148144,0.0,6818.364095238095,High Risk
2020.0,6.0,7.0,Upstream Passi I,C,7.5,3.0,377.0,7.0,26.0,160000.0,0.28846153846153844,0.0,32836.1809047619,High Risk
2020.0,6.0,8.0,Calinog Bridge (Class A),A,7.4,3.0,42.0,7.0,25.0,17000.0,0.29600000000000004,0.0,3507.1225714285715,High Risk
2020.0,6.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.5,2.0,69.0,7.0,26.0,2300.0,0.3269230769230769,0.0,494.2720476190476,High Risk
2020.0,7.0,10.0,Alibunan Upstream (Class A),A,5.9,2.0,32.0,7.1,26.1,17000.0,0.2260536398467433,0.09999999999999964,3509.362880952381,High Risk
2020.0,7.0,3.0,Moroboro Dam,C,7.2,4.0,288.0,7.6,27.0,170000.0,0.26666666666666666,0.5999999999999996,34885.3970952381,High Risk
2020.0,7.0,4.0,Duenas Bridge,C,7.4,4.0,387.0,7.4,28.1,540000.0,0.26334519572953735,0.40000000000000036,110705.99676190477,High Risk
2020.0,7.0,6.0,Downstream Passi I,C,7.0,5.0,106.0,7.2,26.9,540000.0,0.26022304832713755,0.20000000000000018,110683.02461904762,High Risk
2020.0,7.0,8.0,Calinog Bridge (Class A),A,7.0,4.0,86.0,6.6,25.3,79000.0,0.2766798418972332,0.40000000000000036,16217.551428571429,High Risk
2020.0,7.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,5.2,2.0,103.0,6.8,25.8,79000.0,0.20155038759689922,0.20000000000000018,16219.436380952382,High Risk
2020.0,8.0,1.0,"Inland Fisheries, Leganes",C,9.4,3.0,38.0,7.3,30.8,33000.0,0.3051948051948052,0.2999999999999998,6789.402404761905,High Risk
2020.0,8.0,10.0,Alibunan Upstream (Class A),A,9.3,2.0,59.0,7.9,27.9,79000.0,0.33333333333333337,0.9000000000000004,16215.618880952381,High Risk
2020.0,8.0,2.0,Barotac Nuevo Bridge,C,9.8,5.0,53.0,7.6,28.5,130000.0,0.34385964912280703,0.5999999999999996,26668.30995238095,High Risk
2020.0,8.0,3.0,Moroboro Dam,C,10.0,5.0,43.0,7.5,28.0,130000.0,0.35714285714285715,0.5,26665.877785714285,High Risk
2020.0,8.0,4.0,Duenas Bridge,C,10.0,4.0,82.0,7.3,29.6,79000.0,0.33783783783783783,0.2999999999999998,16217.741261904763,High Risk
2020.0,8.0,5.0,Downstream Passi II,C,8.4,5.0,206.0,7.0,27.8,240000.0,0.302158273381295,0.0,49218.02761904762,High Risk
2020.0,8.0,6.0,Downstream Passi I,C,9.6,5.0,186.0,7.3,27.3,170000.0,0.3516483516483516,0.2999999999999998,34872.34745238095,High Risk
2020.0,8.0,8.0,Calinog Bridge (Class A),A,8.8,3.0,118.0,8.0,26.7,6000.0,0.32958801498127344,1.0,1264.998238095238,High Risk
2020.0,8.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,9.2,2.0,124.0,8.1,27.6,4000.0,0.3333333333333333,1.0999999999999996,854.636880952381,High Risk
2020.0,9.0,1.0,"Inland Fisheries, Leganes",C,4.4,6.0,231.8,7.4,26.0,130000.0,0.16923076923076924,0.40000000000000036,26691.870076190477,High Risk
2020.0,9.0,10.0,Alibunan Upstream (Class A),A,5.2,3.0,30.4,7.4,24.5,22000.0,0.2122448979591837,0.40000000000000036,4537.803371428572,High Risk
