Model,Accuracy,Precision,Recall,F1_Score,R2
XGBoost,0.9867549668874173,0.9869571811334108,0.9867549668874173,0.9851502801833928,0.8543876567020251
MLP,0.9006622516556292,0.9149534321454851,0.9006622516556292,0.9065449854937261,0.453953712632594
